affil_norm,mapped_to,label,latitude,longitude,match_type,score,suggestions
korea institute of science and technology  korea university,,korea institute of science and technology  korea university,,,suggested,,"[('korean institute science and technology', 0.7755102040816326), ('srm institute of science and technology', 0.7551020408163265), ('korea advanced institute of science and technology', 0.7522935779816514), ('korea institute of energy technology', 0.6947368421052632), ('korea institute of industrial technology', 0.6666666666666666)]"
korea research institute of chemical technology,,korea research institute of chemical technology,,,suggested,,"[('korea advanced institute of science and technology', 0.7422680412371134), ('korea institute of industrial technology', 0.7586206896551724), ('korea institute of energy technology', 0.7469879518072289), ('institute of chemical technology mumbai', 0.7441860465116279), ('srm institute of science and technology', 0.6976744186046512)]"
kpv lab edinburgh ltd,,kpv lab edinburgh ltd,,,unmapped,,[]
krict,,krict,,,suggested,,"[('kist', 0.6666666666666666)]"
kwangwoon university,,kwangwoon university,,,suggested,,"[('kangwon national university', 0.8085106382978723), ('rowan university', 0.7777777777777778), ('nihon university', 0.7777777777777778), ('maynooth university', 0.7692307692307693), ('kumamoto university', 0.7692307692307693)]"
kyung hee university,,kyung hee university,,,suggested,,"[('kyushu university', 0.8108108108108109), ('tunghai university', 0.7894736842105263), ('ghent university', 0.7777777777777778), ('yeungnam university', 0.7692307692307693), ('tuskegee university', 0.7692307692307693)]"
laboratoire réactions et génie des procédés  université de lorraine  cnrs,,laboratoire réactions et génie des procédés  université de lorraine  cnrs,,,unmapped,,[]
laboratory for chemical technology,,laboratory for chemical technology,,,suggested,,"[('beijing university of chemical technology', 0.6933333333333334), ('institute of chemical technology mumbai', 0.6027397260273972), ('freeman technology', 0.5769230769230769), ('university of science and technology', 0.6)]"
laboratory for chemical technology  ghent university,,laboratory for chemical technology  ghent university,,,unmapped,,[]
laboratory for laser energetics,,laboratory for laser energetics,,,unmapped,,[]
laboratório associado para a sustentabilidade e tecnologia em regiões de montanha   instituto politécnico de bragança  campus de santa apolónia  5300-253,,laboratório associado para a sustentabilidade e tecnologia em regiões de montanha   instituto politécnico de bragança  campus de santa apolónia  5300-253,,,unmapped,,[]
lakril technologies corporation,,lakril technologies corporation,,,suggested,,"[('evonik corporation', 0.5306122448979592)]"
lam research corporation,,lam research corporation,,,suggested,,"[('basf corporation', 0.7), ('eaton corporation', 0.6829268292682927), ('army research lab', 0.6341463414634146), ('evonik corporation', 0.6190476190476191)]"
lamar university university of louisville,,lamar university university of louisville,,,suggested,,"[('university of louisville', 0.7384615384615385), ('aristotle university of thessaloniki', 0.5974025974025974), ('american university of beirut', 0.6)]"
lawrence berkeley national lab,,lawrence berkeley national lab,,,unmapped,,[]
lawrence berkeley national laboratory,,lawrence berkeley national laboratory,,,suggested,,"[('argonne national laboratory', 0.71875), ('savannah river national laboratory', 0.676056338028169), ('oak ridge national laboratory', 0.696969696969697), ('brookhaven national laboratory', 0.6865671641791045), ('idaho national laboratory', 0.6774193548387096)]"
lawrence livermore national lab,,lawrence livermore national lab,,,suggested,,"[('savannah river national laboratory', 0.5846153846153846)]"
lawrence livermore national laboratory,,lawrence livermore national laboratory,,,suggested,,"[('savannah river national laboratory', 0.7222222222222222), ('argonne national laboratory', 0.7384615384615385), ('los alamos national laboratory', 0.7058823529411765), ('idaho national laboratory', 0.6984126984126984), ('pacific northwest national laboratory', 0.6666666666666666)]"
lbnl,,lbnl,,,suggested,,"[('lanl', 0.75)]"
lehman college  the city university of new york,,lehman college  the city university of new york,,,suggested,,"[('columbia university in the city of new york', 0.6)]"
leibniz institute of polymer research and tu dresden,,leibniz institute of polymer research and tu dresden,,,unmapped,,[]
leidos inc,,leidos inc,,,suggested,,"[('dow inc.', 0.6666666666666666)]"
leidos research support team,,leidos research support team,,,unmapped,,[]
leidos research support team - us doe netl,,leidos research support team - us doe netl,,,unmapped,,[]
lelantos inc,,lelantos inc,,,unmapped,,[]
levich institute  city college of new york,,levich institute  city college of new york,,,unmapped,,[]
lewis-sigler institute for integrative genomics,,lewis-sigler institute for integrative genomics,,,unmapped,,[]
liangzhu laboratory  zhejiang university,,liangzhu laboratory  zhejiang university,,,suggested,,"[('zhejiang university', 0.6440677966101694), ('xian jiaotong university', 0.625)]"
licensing and professional development,,licensing and professional development,,,unmapped,,[]
linde gmbh  linde engineering,,linde gmbh  linde engineering,,,unmapped,,[]
linde plc,,linde plc,,,suggested,,"[('linde', 0.7142857142857143)]"
liquid sunlight alliance,,liquid sunlight alliance,,,unmapped,,[]
lisn cnrs,,lisn cnrs,,,unmapped,,[]
long beach city college,,long beach city college,,,unmapped,,[]
loyola university chicago,,loyola university chicago,,,suggested,,"[('soka university of america', 0.6666666666666666), ('nagoya university', 0.6666666666666666), ('university of illinois chicago', 0.6545454545454545), ('oakland university', 0.6511627906976745), ('ohio university', 0.65)]"
lparadis lbl gov,,lparadis lbl gov,,,unmapped,,[]
lsre-lcm - faculty of engineering of university of porto,,lsre-lcm - faculty of engineering of university of porto,,,unmapped,,[]
lubrizol advanced materials europe bvba,,lubrizol advanced materials europe bvba,,,suggested,,"[('lubrizol advanced materials', 0.8181818181818182)]"
lysis consulting p c,,lysis consulting p c,,,unmapped,,[]
m-star cfd,,m-star cfd,,,unmapped,,[]
m-star simulations,,m-star simulations,,,suggested,,"[('synt solutions', 0.625)]"
macdiarmid institute for advanced materials and nanotechnology,,macdiarmid institute for advanced materials and nanotechnology,,,suggested,,"[('national institute of standards and technology', 0.6851851851851852), ('srm institute of science and technology', 0.6534653465346535), ('korea institute of industrial technology', 0.6078431372549019)]"
mainstream engineering corporation,,mainstream engineering corporation,,,unmapped,,[]
malaysia-japan international institute of technology  universiti teknologi malaysia,,malaysia-japan international institute of technology  universiti teknologi malaysia,,,unmapped,,[]
mantisonix ltd,,mantisonix ltd,,,unmapped,,[]
mario negri institute for pharmacological research,,mario negri institute for pharmacological research,,,suggested,,"[('tata institute of fundamental research', 0.6136363636363636)]"
mars  inc,,mars  inc,,,suggested,,"[('mars, inc.', 0.8421052631578947), ('css inc', 0.625), ('mayo clinic', 0.6)]"
massachusets institute of technology,,massachusets institute of technology,,,suggested,,"[('karlsruhe institute of technology', 0.8115942028985508), ('caltech institute of technology', 0.8059701492537313), ('chiba institute of technology', 0.8), ('tokyo institute of technology', 0.7692307692307693), ('kyoto institute of technology', 0.7692307692307693)]"
massachusetts general hospital,,massachusetts general hospital,,,unmapped,,[]
massachusetts institue of technology,,massachusetts institue of technology,,,suggested,,"[('karlsruhe institute of technology', 0.782608695652174), ('caltech institute of technology', 0.7761194029850746), ('chiba institute of technology', 0.7692307692307693), ('tokyo institute of technology', 0.7384615384615385), ('kyoto institute of technology', 0.7384615384615385)]"
massachusetts institute of technology,,massachusetts institute of technology,,,suggested,,"[('karlsruhe institute of technology', 0.8), ('caltech institute of technology', 0.7941176470588235), ('chiba institute of technology', 0.7878787878787878), ('tokyo institute of technology', 0.7575757575757576), ('kyoto institute of technology', 0.7575757575757576)]"
massachusetts institute of technology and arizona,,massachusetts institute of technology and arizona,,,suggested,,"[('karlsruhe institute of technology', 0.6829268292682927), ('caltech institute of technology', 0.675), ('indian institute of technology bhu varanasi', 0.6521739130434783), ('chiba institute of technology', 0.6666666666666666), ('indian institute of technology guwahati', 0.6590909090909091)]"
massachusetts institute of thechnology,,massachusetts institute of thechnology,,,suggested,,"[('karlsruhe institute of technology', 0.7887323943661971), ('caltech institute of technology', 0.782608695652174), ('chiba institute of technology', 0.7761194029850746), ('tokyo institute of technology', 0.746268656716418), ('kyoto institute of technology', 0.746268656716418)]"
material flow solutions  inc,,material flow solutions  inc,,,unmapped,,[]
